----Player Bike Data: ID 0, HRmax: 191.2----
DateTime: 27/03/2024 3:49:26 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:49:31 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:49:36 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:49:41 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:49:46 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:49:51 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:49:56 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:50:01 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:50:06 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:50:11 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:50:16 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:50:21 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:50:26 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:50:31 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:50:36 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:50:41 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:50:47 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:50:52 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:50:57 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:51:02 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:51:07 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:51:12 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:51:17 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:51:22 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:51:27 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:51:32 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:51:37 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:51:42 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:51:47 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:51:52 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:51:57 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:52:02 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:52:07 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:52:12 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:52:17 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:52:22 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:52:27 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:52:32 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:52:37 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:52:42 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:52:47 p.m., RPM: 0, HR: 0, Speed: 0
DateTime: 27/03/2024 3:52:52 p.m., RPM: 0, HR: 0, Speed: 0
